Property Name,Portfolio Manager ID,Street Address,City/Municipality,State/Province,Postal Code,Country,Property Type - Self-Selected,Gross Floor Area,GFA Units
F.J. Horgan Water Treatment Plant,35000838,201 COPPERFIELD RD,Scarborough,Ontario,M1E 5G7,Canada,Drinking Water Treatment & Distribution,325447,Sq. Ft.
Island Water Treatment Plant,35000839,446 LAKESHORE AVE,Toronto,Ontario,M5J 2H3,Canada,Drinking Water Treatment & Distribution,64196,Sq. Ft.
W.H. Johnston Pumping Station,35000836,1560 ROYAL YORK RD,Etobicoke,Ontario,M9P 3C3,Canada,Drinking Water Treatment & Distribution,1744,Sq. Ft.
West Toronto Pumping Station,35000837,143 OLD WESTON RD,Toronto,Ontario,M6N 3A4,Canada,Drinking Water Treatment & Distribution,7739,Sq. Ft.
St. Albans Pumping Station,35000834,30 ST ALBANS RD,Etobicoke,Ontario,M9B 1A1,Canada,Drinking Water Treatment & Distribution,3240,Sq. Ft.
Thornhill Pumping Station,35000835,1 Green Lane,Thornhill,Ontario,L3T 7P7,Canada,Drinking Water Treatment & Distribution,1550,Sq. Ft.
Rosehill Pumping Station,35000832,240 MOUNT PLEASANT RD,Toronto,Ontario,M4T 2W7,Canada,Drinking Water Treatment & Distribution,1550,Sq. Ft.
Scarborough Pumping Station,35000833,21 FISHLEIGH DR,Scarborough,Ontario,M1N 1H1,Canada,Drinking Water Treatment & Distribution,9160,Sq. Ft.
R.C. Harris Water Treatment Plant,35000840,2701 QUEEN ST E,Toronto,Ontario,M4E 1J1,Canada,Drinking Water Treatment & Distribution,115368,Sq. Ft.
R.L. Clark Water Treatment Plant,35000841,1 TWENTY THIRD ST,Etobicoke,Ontario,M8V 3M6,Canada,Drinking Water Treatment & Distribution,401612,Sq. Ft.
Glasgow St Parkette,35058294,4 Glasgow St,Toronto,Ontario,M5T 2C1,Canada,Other - Public Services,3064,Sq. Ft.
Maryvale Library,35000342,85 ELLESMERE RD,Scarborough,Ontario,M1R 4B8,Canada,Library,4421,Sq. Ft.
McGregor Park Library,35000343,2219 LAWRENCE AVE E,Scarborough,Ontario,M1P 2P5,Canada,Library,7793,Sq. Ft.
Main Street Library,35000340,137 MAIN ST,Toronto,Ontario,M4E 2V9,Canada,Library,8664,Sq. Ft.
Maria A Shchuka Library,35000341,1745 EGLINTON AVE W,Toronto,Ontario,M6E 2H4,Canada,Library,25475,Sq. Ft.
Locke Library,35000338,3083 YONGE ST,Toronto,Ontario,M4N 2K7,Canada,Library,11647,Sq. Ft.
Long Branch Library,35000339,3500 LAKE SHORE BLVD W,Etobicoke,Ontario,M8W 1N6,Canada,Library,6418,Sq. Ft.
Leaside Library,35000336,165 MCRAE DR,East York,Ontario,M4G 1S8,Canada,Library,12000,Sq. Ft.
Lillian H Smith Library,35000337,239 COLLEGE ST,Toronto,Ontario,M5T 1R5,Canada,Library,38935,Sq. Ft.
